Source,Destination,Avg_Delay(ms)
1,3,0.000331
2,4,0.000306
2,5,0.000334
3,6,0.000295
3,7,0.000226
4,8,0.000336
5,9,0.000302
6,10,0.000347
7,11,0.000298
8,12,0.000195
9,13,0.000236
10,14,0.000237
11,15,0.000230
13,7,0.000319
7,10,0.000241
1,2,0.000223
1,3,0.000277
2,4,0.000265
2,5,0.000190
3,6,0.000229
3,7,0.000232
4,8,0.000269
5,9,0.000304
6,10,0.000298
7,11,0.000257
8,12,0.000355
9,13,0.000157
10,14,0.000232
11,15,0.000273
13,7,0.000300
7,10,0.000283
1,2,0.000290
1,3,0.000293
2,4,0.000287
2,5,0.000341
3,6,0.000248
3,7,0.000302
4,8,0.000263
5,9,0.000279
6,10,0.000261
7,11,0.000291
8,12,0.000283
9,13,0.000229
10,14,0.000262
11,15,0.000181
13,7,0.000292
7,10,0.025620
1,2,0.000224
1,3,0.000273
2,4,0.000240
2,5,0.000322
3,6,0.000268
3,7,0.000222
4,8,0.000302
5,9,0.000267
6,10,0.000276
7,11,0.000274
8,12,0.000254
9,13,0.000317
10,14,0.000217
11,15,0.000204
13,7,0.000368
7,10,0.000223
1,2,0.000268
1,3,0.000340
2,4,0.000324
2,5,0.000264
3,6,0.000158
3,7,0.000262
4,8,0.000233
5,9,0.000202
6,10,0.000276
7,11,0.000290
8,12,0.000254
9,13,0.000299
10,14,0.000149
11,15,0.000245
13,7,0.000264
7,10,0.000270
1,2,0.000286
1,3,0.000362
2,4,0.000232
2,5,0.000177
3,6,0.000358
3,7,0.000332
4,8,0.000299
5,9,0.000368
6,10,0.000243
7,11,0.000379
8,12,0.000299
9,13,0.000316
10,14,0.000215
11,15,0.000267
13,7,0.000303
7,10,0.000299
1,2,0.000255
1,3,0.000278
2,4,0.000331
2,5,0.000237
3,6,0.000250
3,7,0.000254
4,8,0.000416
5,9,0.000265
6,10,0.000273
7,11,0.000196
8,12,0.000178
9,13,0.000272
10,14,0.000311
11,15,0.000210
13,7,0.000265
7,10,0.000253
1,2,0.000247
1,3,0.000226
2,4,0.000253
2,5,0.000249
3,6,0.000228
3,7,0.000271
4,8,0.000266
5,9,0.000221
6,10,0.000261
7,11,0.000279
8,12,0.000234
9,13,0.000242
10,14,0.000255
11,15,0.000242
13,7,0.000180
7,10,0.000267
1,2,0.000161
1,3,0.000232
2,4,0.000217
2,5,0.000198
3,6,0.000299
3,7,0.000298
4,8,0.000367
5,9,0.000225
6,10,0.000258
7,11,0.000251
8,12,0.000223
9,13,0.000196
10,14,0.000186
11,15,0.000319
13,7,0.000245
7,10,0.000283
1,2,0.000239
