Source,Destination,Avg_Delay(ms)
7,10,0.02562
1,3,0.00061
1,2,0.000559
7,11,0.000511
7,11,0.000505
10,14,0.000487
4,8,0.000416
10,14,0.000409
1,3,0.000406
13,7,0.000398
4,8,0.000389
11,15,0.000382
7,11,0.000379
10,14,0.000379
1,3,0.000378
4,8,0.000373
7,10,0.000373
5,9,0.000368
13,7,0.000368
4,8,0.000367
1,3,0.000362
4,8,0.00036
6,10,0.000359
3,6,0.000358
8,12,0.000358
2,5,0.000357
2,5,0.000355
8,12,0.000355
8,12,0.000355
4,8,0.000355
6,10,0.000347
9,13,0.000346
1,2,0.000345
5,9,0.000345
7,11,0.000345
3,7,0.000345
13,7,0.000344
4,8,0.000342
10,14,0.000342
2,5,0.000341
1,3,0.00034
4,8,0.00034
11,15,0.000339
2,5,0.000338
11,15,0.000337
3,7,0.000337
7,11,0.000337
4,8,0.000336
4,8,0.000336
4,8,0.000335
7,10,0.000335
9,13,0.000334
5,9,0.000334
6,10,0.000334
2,5,0.000334
1,2,0.000333
9,13,0.000333
13,7,0.000332
3,7,0.000332
2,4,0.000332
2,4,0.000331
2,4,0.000331
7,11,0.000331
1,3,0.000331
7,11,0.000331
7,10,0.000331
10,14,0.000331
11,15,0.00033
8,12,0.000329
13,7,0.000328
5,9,0.000327
1,3,0.000326
5,9,0.000325
1,3,0.000325
2,5,0.000325
6,10,0.000325
13,7,0.000324
2,4,0.000324
8,12,0.000323
2,4,0.000323
2,5,0.000322
1,3,0.000321
9,13,0.000321
11,15,0.000321
13,7,0.000321
6,10,0.000321
1,2,0.00032
11,15,0.00032
13,7,0.000319
5,9,0.000319
11,15,0.000319
1,2,0.000319
1,3,0.000318
1,2,0.000318
13,7,0.000318
3,6,0.000318
5,9,0.000317
8,12,0.000317
9,13,0.000317
7,11,0.000317
2,4,0.000316
9,13,0.000316
5,9,0.000316
3,6,0.000316
4,8,0.000315
10,14,0.000315
13,7,0.000315
1,3,0.000315
13,7,0.000314
7,10,0.000314
11,15,0.000314
2,5,0.000313
4,8,0.000312
6,10,0.000312
2,5,0.000312
10,14,0.000311
13,7,0.000311
3,6,0.000311
6,10,0.000311
1,2,0.00031
7,10,0.000309
8,12,0.000309
6,10,0.000309
5,9,0.000308
3,6,0.000308
4,8,0.000307
5,9,0.000307
2,4,0.000306
8,12,0.000306
4,8,0.000305
2,5,0.000304
5,9,0.000304
13,7,0.000303
1,3,0.000303
3,7,0.000302
5,9,0.000302
4,8,0.000302
7,11,0.000302
10,14,0.000302
6,10,0.000301
11,15,0.000301
2,5,0.0003
13,7,0.0003
1,3,0.0003
2,5,0.0003
11,15,0.000299
8,12,0.000299
1,3,0.000299
7,10,0.000299
2,4,0.000299
3,6,0.000299
4,8,0.000299
10,14,0.000299
9,13,0.000299
6,10,0.000298
7,10,0.000298
3,7,0.000298
7,11,0.000298
6,10,0.000298
2,5,0.000297
1,3,0.000297
6,10,0.000297
5,9,0.000297
2,4,0.000296
11,15,0.000296
11,15,0.000296
1,3,0.000296
8,12,0.000296
11,15,0.000295
1,2,0.000295
5,9,0.000295
3,6,0.000295
1,3,0.000295
10,14,0.000294
4,8,0.000294
7,10,0.000294
1,3,0.000293
7,11,0.000293
3,7,0.000293
2,5,0.000293
1,2,0.000293
11,15,0.000293
2,5,0.000292
11,15,0.000292
5,9,0.000292
9,13,0.000292
10,14,0.000292
13,7,0.000292
1,3,0.000291
7,10,0.000291
3,7,0.000291
7,11,0.000291
2,5,0.00029
5,9,0.00029
1,2,0.00029
4,8,0.00029
7,11,0.00029
10,14,0.00029
7,10,0.000289
10,14,0.000289
3,6,0.000289
11,15,0.000289
7,11,0.000289
8,12,0.000289
2,5,0.000288
3,7,0.000288
7,10,0.000288
5,9,0.000287
2,4,0.000287
9,13,0.000287
9,13,0.000287
2,4,0.000287
2,4,0.000286
1,2,0.000286
11,15,0.000286
10,14,0.000286
4,8,0.000286
7,11,0.000286
8,12,0.000285
9,13,0.000285
2,4,0.000284
10,14,0.000284
1,2,0.000284
6,10,0.000284
9,13,0.000284
10,14,0.000284
8,12,0.000283
2,5,0.000283
5,9,0.000283
3,7,0.000283
3,7,0.000283
7,10,0.000283
13,7,0.000283
4,8,0.000283
2,4,0.000283
7,10,0.000283
1,2,0.000282
8,12,0.000282
8,12,0.000282
1,2,0.000282
3,6,0.000282
7,10,0.000282
8,12,0.000282
3,7,0.000282
1,3,0.000282
4,8,0.000282
8,12,0.000281
2,5,0.000281
13,7,0.000281
13,7,0.000281
3,6,0.000281
2,5,0.000281
8,12,0.00028
6,10,0.00028
5,9,0.000279
7,10,0.000279
1,2,0.000279
7,11,0.000279
3,6,0.000278
1,2,0.000278
11,15,0.000278
8,12,0.000278
2,5,0.000278
1,3,0.000278
4,8,0.000278
1,3,0.000277
9,13,0.000277
7,10,0.000277
1,2,0.000277
6,10,0.000276
6,10,0.000276
13,7,0.000276
3,7,0.000276
11,15,0.000276
11,15,0.000276
6,10,0.000276
8,12,0.000276
6,10,0.000276
10,14,0.000275
1,3,0.000275
9,13,0.000275
11,15,0.000275
6,10,0.000275
3,6,0.000275
2,4,0.000274
7,10,0.000274
2,4,0.000274
10,14,0.000274
7,11,0.000274
6,10,0.000274
13,7,0.000274
2,5,0.000274
2,4,0.000274
6,10,0.000273
3,7,0.000273
