Source,Destination,Avg_Delay(ms)
6,10,0.000118
2,5,0.000124
6,10,0.000125
8,12,0.00013
9,13,0.000133
10,14,0.00014
10,14,0.000142
3,7,0.000143
2,4,0.000143
6,10,0.000143
5,9,0.000146
5,9,0.000147
10,14,0.000147
7,11,0.000147
3,7,0.000149
3,6,0.000149
10,14,0.000149
13,7,0.00015
1,3,0.000151
7,11,0.000155
2,5,0.000155
3,6,0.000155
1,3,0.000156
9,13,0.000157
9,13,0.000157
6,10,0.000157
1,2,0.000157
3,6,0.000158
3,6,0.000158
6,10,0.00016
5,9,0.000161
3,7,0.000161
4,8,0.000161
1,2,0.000161
2,5,0.000162
7,11,0.000162
4,8,0.000162
1,3,0.000163
13,7,0.000163
1,3,0.000163
7,10,0.000163
3,7,0.000164
4,8,0.000165
8,12,0.000167
10,14,0.000169
7,11,0.00017
3,6,0.000171
10,14,0.000172
3,6,0.000173
5,9,0.000174
11,15,0.000175
1,2,0.000175
6,10,0.000176
4,8,0.000176
7,11,0.000177
2,5,0.000177
8,12,0.000178
3,7,0.000178
13,7,0.00018
3,6,0.000181
11,15,0.000181
2,4,0.000182
1,2,0.000182
7,10,0.000182
5,9,0.000182
3,6,0.000183
1,2,0.000183
13,7,0.000183
7,10,0.000184
5,9,0.000184
2,5,0.000184
1,3,0.000184
3,7,0.000185
1,2,0.000185
5,9,0.000185
13,7,0.000185
9,13,0.000185
5,9,0.000185
6,10,0.000185
2,4,0.000185
2,5,0.000186
2,5,0.000186
10,14,0.000186
3,6,0.000187
11,15,0.000187
1,2,0.000187
6,10,0.000187
13,7,0.000187
9,13,0.000187
1,3,0.000188
2,5,0.000188
3,7,0.000188
3,7,0.000188
5,9,0.000188
4,8,0.000188
5,9,0.000188
13,7,0.000189
1,3,0.000189
4,8,0.000189
7,10,0.00019
2,4,0.00019
6,10,0.00019
2,5,0.00019
2,5,0.00019
7,10,0.00019
11,15,0.00019
7,11,0.000191
5,9,0.000191
7,10,0.000191
11,15,0.000191
8,12,0.000192
2,4,0.000192
5,9,0.000192
2,4,0.000192
5,9,0.000193
11,15,0.000193
8,12,0.000193
10,14,0.000193
7,10,0.000193
3,7,0.000193
1,2,0.000193
2,4,0.000193
1,2,0.000194
3,6,0.000194
8,12,0.000194
5,9,0.000195
9,13,0.000195
4,8,0.000195
8,12,0.000195
2,5,0.000195
1,3,0.000196
9,13,0.000196
4,8,0.000196
10,14,0.000196
10,14,0.000196
7,11,0.000196
6,10,0.000196
2,5,0.000196
7,11,0.000196
2,4,0.000196
11,15,0.000197
8,12,0.000197
3,7,0.000197
3,7,0.000198
2,5,0.000198
7,11,0.000198
2,4,0.000198
3,6,0.000198
7,10,0.000199
4,8,0.000199
13,7,0.000199
8,12,0.0002
11,15,0.0002
11,15,0.0002
3,7,0.000201
5,9,0.000201
7,10,0.000201
3,6,0.000201
7,11,0.000201
4,8,0.000202
5,9,0.000202
13,7,0.000202
3,6,0.000202
3,7,0.000202
3,6,0.000202
9,13,0.000202
7,11,0.000203
3,7,0.000203
3,6,0.000203
3,7,0.000203
9,13,0.000203
11,15,0.000204
6,10,0.000204
3,6,0.000204
11,15,0.000204
1,2,0.000204
13,7,0.000204
7,11,0.000204
5,9,0.000204
1,3,0.000204
6,10,0.000205
11,15,0.000205
11,15,0.000205
13,7,0.000205
7,11,0.000205
8,12,0.000206
3,6,0.000206
2,4,0.000206
4,8,0.000206
8,12,0.000206
3,7,0.000206
5,9,0.000206
2,4,0.000206
1,3,0.000206
5,9,0.000207
13,7,0.000207
7,10,0.000207
3,6,0.000207
5,9,0.000207
6,10,0.000207
2,5,0.000207
2,5,0.000207
5,9,0.000208
8,12,0.000208
1,3,0.000208
3,6,0.000208
2,4,0.000208
3,6,0.000208
2,4,0.000208
3,7,0.000209
3,7,0.000209
5,9,0.000209
13,7,0.000209
13,7,0.000209
2,5,0.00021
2,5,0.00021
11,15,0.00021
8,12,0.00021
7,10,0.00021
7,11,0.000211
8,12,0.000211
6,10,0.000212
2,4,0.000212
13,7,0.000212
6,10,0.000212
8,12,0.000213
7,10,0.000213
1,2,0.000213
3,6,0.000213
13,7,0.000213
3,6,0.000213
3,7,0.000214
7,11,0.000214
4,8,0.000214
4,8,0.000214
1,3,0.000214
7,10,0.000215
1,2,0.000215
10,14,0.000215
7,11,0.000216
10,14,0.000216
10,14,0.000216
10,14,0.000216
10,14,0.000217
2,4,0.000217
10,14,0.000217
4,8,0.000217
13,7,0.000217
4,8,0.000218
7,10,0.000218
1,3,0.000218
9,13,0.000218
8,12,0.000218
6,10,0.000218
4,8,0.000218
6,10,0.000218
1,3,0.000218
6,10,0.000219
13,7,0.00022
11,15,0.00022
1,3,0.00022
1,3,0.00022
1,2,0.000221
3,7,0.000221
1,3,0.000221
11,15,0.000221
5,9,0.000221
2,5,0.000221
2,5,0.000221
3,7,0.000222
10,14,0.000222
7,10,0.000222
2,4,0.000222
2,5,0.000222
3,7,0.000222
9,13,0.000222
6,10,0.000223
7,10,0.000223
1,2,0.000223
2,4,0.000223
1,2,0.000223
7,10,0.000223
8,12,0.000223
3,6,0.000223
9,13,0.000223
11,15,0.000223
1,2,0.000224
13,7,0.000224
13,7,0.000224
7,11,0.000224
4,8,0.000224
7,10,0.000224
9,13,0.000224
1,2,0.000224
7,11,0.000225
8,12,0.000225
6,10,0.000225
5,9,0.000225
9,13,0.000225
1,3,0.000225
1,3,0.000226
7,11,0.000226
2,5,0.000226
3,7,0.000226
2,4,0.000226
11,15,0.000226
3,6,0.000226
10,14,0.000227
7,11,0.000227
4,8,0.000227
7,10,0.000227
7,11,0.000227
1,2,0.000228
7,11,0.000228
7,10,0.000228
3,6,0.000228
3,6,0.000229
7,11,0.000229
7,10,0.000229
1,2,0.000229
7,11,0.000229
7,10,0.000229
9,13,0.000229
11,15,0.00023
9,13,0.00023
4,8,0.00023
13,7,0.00023
3,6,0.00023
2,4,0.000231
8,12,0.000231
7,11,0.000231
9,13,0.000231
6,10,0.000231
9,13,0.000231
4,8,0.000231
1,3,0.000232
3,7,0.000232
2,4,0.000232
10,14,0.000232
1,3,0.000232
5,9,0.000232
10,14,0.000232
2,4,0.000232
10,14,0.000232
2,4,0.000233
4,8,0.000233
2,4,0.000233
3,6,0.000233
8,12,0.000233
9,13,0.000234
1,2,0.000234
4,8,0.000234
9,13,0.000234
1,2,0.000234
3,7,0.000234
9,13,0.000234
8,12,0.000234
8,12,0.000234
3,6,0.000234
3,7,0.000235
9,13,0.000235
7,11,0.000235
10,14,0.000235
5,9,0.000236
7,10,0.000236
6,10,0.000236
4,8,0.000236
10,14,0.000236
9,13,0.000236
8,12,0.000236
2,5,0.000237
2,5,0.000237
3,7,0.000237
3,6,0.000237
10,14,0.000237
7,11,0.000237
5,9,0.000238
8,12,0.000238
10,14,0.000238
3,7,0.000238
9,13,0.000239
1,2,0.000239
3,6,0.000239
2,5,0.000239
1,2,0.000239
9,13,0.000239
2,4,0.00024
8,12,0.00024
8,12,0.00024
1,2,0.00024
1,2,0.00024
8,12,0.00024
3,7,0.00024
2,4,0.00024
13,7,0.000241
9,13,0.000241
6,10,0.000241
3,7,0.000241
3,7,0.000241
2,4,0.000241
2,4,0.000241
2,5,0.000241
